Age,Frac_1,Frac_2,Frac_3,Frac_4,Frac_5,Frac_6,Frac_7,Frac_8,Frac_9
5.306456e-02,4.613888e-04,1.493690e-02,6.971085e-02,1.533780e-01,2.649896e-01,3.121340e-01,1.843893e-01,0.000000e+00,0.000000e+00
5.309596e-02,4.627478e-04,1.497041e-02,6.981543e-02,1.535009e-01,2.650390e-01,3.120065e-01,1.842050e-01,0.000000e+00,0.000000e+00
5.312735e-02,4.641099e-04,1.500397e-02,6.992006e-02,1.536238e-01,2.650883e-01,3.118790e-01,1.840208e-01,0.000000e+00,0.000000e+00
5.315875e-02,4.654751e-04,1.503758e-02,7.002475e-02,1.537466e-01,2.651374e-01,3.117514e-01,1.838368e-01,0.000000e+00,0.000000e+00
5.319015e-02,4.668433e-04,1.507124e-02,7.012951e-02,1.538693e-01,2.651863e-01,3.116238e-01,1.836530e-01,0.000000e+00,0.000000e+00
5.322155e-02,4.682145e-04,1.510495e-02,7.023432e-02,1.539920e-01,2.652351e-01,3.114961e-01,1.834693e-01,0.000000e+00,0.000000e+00
5.325295e-02,4.695888e-04,1.513871e-02,7.033919e-02,1.541146e-01,2.652836e-01,3.113684e-01,1.832859e-01,0.000000e+00,0.000000e+00
5.328435e-02,4.709662e-04,1.517252e-02,7.044412e-02,1.542371e-01,2.653320e-01,3.112406e-01,1.831026e-01,0.000000e+00,0.000000e+00
5.331575e-02,4.723466e-04,1.520638e-02,7.054911e-02,1.543596e-01,2.653803e-01,3.111128e-01,1.829195e-01,0.000000e+00,0.000000e+00
5.334715e-02,4.737301e-04,1.524028e-02,7.065416e-02,1.544820e-01,2.654283e-01,3.109849e-01,1.827366e-01,0.000000e+00,0.000000e+00
5.337855e-02,4.751168e-04,1.527424e-02,7.075926e-02,1.546044e-01,2.654762e-01,3.108569e-01,1.825539e-01,0.000000e+00,0.000000e+00
5.340995e-02,4.765067e-04,1.530825e-02,7.086443e-02,1.547267e-01,2.655239e-01,3.107289e-01,1.823714e-01,0.000000e+00,0.000000e+00
5.344135e-02,4.778996e-04,1.534231e-02,7.096965e-02,1.548489e-01,2.655714e-01,3.106008e-01,1.821890e-01,0.000000e+00,0.000000e+00
5.347275e-02,4.792955e-04,1.537641e-02,7.107493e-02,1.549710e-01,2.656188e-01,3.104727e-01,1.820068e-01,0.000000e+00,0.000000e+00
5.350414e-02,4.806946e-04,1.541057e-02,7.118027e-02,1.550931e-01,2.656659e-01,3.103445e-01,1.818249e-01,0.000000e+00,0.000000e+00
5.353554e-02,4.820968e-04,1.544477e-02,7.128567e-02,1.552152e-01,2.657129e-01,3.102163e-01,1.816431e-01,0.000000e+00,0.000000e+00
5.356694e-02,4.835020e-04,1.547903e-02,7.139113e-02,1.553371e-01,2.657597e-01,3.100880e-01,1.814614e-01,0.000000e+00,0.000000e+00
5.359834e-02,4.849104e-04,1.551333e-02,7.149665e-02,1.554590e-01,2.658064e-01,3.099597e-01,1.812800e-01,0.000000e+00,0.000000e+00
5.362974e-02,4.863219e-04,1.554768e-02,7.160222e-02,1.555809e-01,2.658529e-01,3.098313e-01,1.810987e-01,0.000000e+00,0.000000e+00
5.366114e-02,4.877365e-04,1.558209e-02,7.170785e-02,1.557027e-01,2.658992e-01,3.097029e-01,1.809176e-01,0.000000e+00,0.000000e+00
5.369254e-02,4.891542e-04,1.561654e-02,7.181354e-02,1.558244e-01,2.659453e-01,3.095744e-01,1.807367e-01,0.000000e+00,0.000000e+00
5.372394e-02,4.905750e-04,1.565104e-02,7.191929e-02,1.559460e-01,2.659912e-01,3.094458e-01,1.805560e-01,0.000000e+00,0.000000e+00
5.375534e-02,4.919990e-04,1.568559e-02,7.202509e-02,1.560676e-01,2.660370e-01,3.093172e-01,1.803755e-01,0.000000e+00,0.000000e+00
5.378674e-02,4.934261e-04,1.572019e-02,7.213095e-02,1.561891e-01,2.660826e-01,3.091886e-01,1.801951e-01,0.000000e+00,0.000000e+00
5.381814e-02,4.948565e-04,1.575485e-02,7.223687e-02,1.563105e-01,2.661280e-01,3.090599e-01,1.800150e-01,0.000000e+00,0.000000e+00
5.384954e-02,4.962900e-04,1.578955e-02,7.234285e-02,1.564319e-01,2.661733e-01,3.089311e-01,1.798350e-01,0.000000e+00,0.000000e+00
5.388093e-02,4.977267e-04,1.582430e-02,7.244889e-02,1.565532e-01,2.662184e-01,3.088023e-01,1.796551e-01,0.000000e+00,0.000000e+00
5.391233e-02,4.991666e-04,1.585910e-02,7.255498e-02,1.566745e-01,2.662633e-01,3.086735e-01,1.794755e-01,0.000000e+00,0.000000e+00
5.394373e-02,5.006095e-04,1.589395e-02,7.266113e-02,1.567957e-01,2.663080e-01,3.085446e-01,1.792960e-01,0.000000e+00,0.000000e+00
5.397513e-02,5.020557e-04,1.592886e-02,7.276733e-02,1.569168e-01,2.663526e-01,3.084156e-01,1.791168e-01,0.000000e+00,0.000000e+00
5.400653e-02,5.035050e-04,1.596381e-02,7.287360e-02,1.570379e-01,2.663970e-01,3.082866e-01,1.789377e-01,0.000000e+00,0.000000e+00
5.403793e-02,5.049575e-04,1.599881e-02,7.297992e-02,1.571588e-01,2.664412e-01,3.081575e-01,1.787587e-01,0.000000e+00,0.000000e+00
5.406933e-02,5.064131e-04,1.603386e-02,7.308629e-02,1.572798e-01,2.664852e-01,3.080284e-01,1.785800e-01,0.000000e+00,0.000000e+00
5.410073e-02,5.078720e-04,1.606896e-02,7.319273e-02,1.574006e-01,2.665291e-01,3.078993e-01,1.784014e-01,0.000000e+00,0.000000e+00
5.413213e-02,5.093340e-04,1.610411e-02,7.329922e-02,1.575214e-01,2.665728e-01,3.077701e-01,1.782231e-01,0.000000e+00,0.000000e+00
5.416353e-02,5.107992e-04,1.613931e-02,7.340576e-02,1.576421e-01,2.666163e-01,3.076408e-01,1.780449e-01,0.000000e+00,0.000000e+00
5.419493e-02,5.122676e-04,1.617456e-02,7.351237e-02,1.577628e-01,2.666597e-01,3.075115e-01,1.778668e-01,0.000000e+00,0.000000e+00
5.422633e-02,5.137391e-04,1.620986e-02,7.361903e-02,1.578834e-01,2.667029e-01,3.073821e-01,1.776890e-01,0.000000e+00,0.000000e+00
5.425772e-02,5.152139e-04,1.624521e-02,7.372574e-02,1.580039e-01,2.667459e-01,3.072527e-01,1.775113e-01,0.000000e+00,0.000000e+00
5.428912e-02,5.166921e-04,1.628062e-02,7.383251e-02,1.581244e-01,2.667887e-01,3.071233e-01,1.773338e-01,0.000000e+00,0.000000e+00
5.432052e-02,5.181735e-04,1.631607e-02,7.393934e-02,1.582447e-01,2.668314e-01,3.069938e-01,1.771565e-01,0.000000e+00,0.000000e+00
